gene_name,logFC,P.Value,,,,
ENPP2,1.148775797,6.84E-07,,,,
LSAMP,2.575081784,7.68E-07,,,,
KCNS3,2.015168479,7.36E-07,,,,
CPQ,1.327390448,7.51E-07,,,,
PMP22,2.345354761,7.54E-07,,,,
FYN,0.874113287,7.59E-07,,,,
TCAF2,2.28279406,9.48E-07,,,,
ANGPTL1,3.220319959,7.75E-07,,,,
GALNT1,0.816173936,7.47E-07,,,,
MTURN,1.022334286,8.52E-07,,,,
THBS2,1.289472297,8.46E-07,,,,
HABP4,1.184669081,9.68E-07,,,,
RBP4,-1.250519741,1.04E-06,,,,
OSBPL10,1.422761949,9.66E-07,,,,
CTSV,1.438979001,1.12E-06,,,,
AR,0.889322897,1.02E-06,,,,
BPIFB1,3.729758075,4.87E-07,,,,
KLF3,0.802119465,9.70E-07,,,,
AIFM2,1.208566437,1.16E-06,,,,
KIF1A,-2.495761146,1.06E-06,,,,
DTX3L,1.606662512,1.08E-06,,,,
NREP,0.865225971,9.25E-07,,,,
GALNT18,0.963646782,1.09E-06,,,,
PGK1,1.015568181,9.00E-07,,,,
IL31RA,3.114882642,9.77E-07,,,,
GUCD1,0.751280936,1.04E-06,,,,
COL5A3,2.203654958,1.19E-06,,,,
FRMD4A,0.923145022,1.05E-06,,,,
PTPN13,0.884057911,1.07E-06,,,,
SPIN4,1.413384563,1.26E-06,,,,
PLEKHO2,1.025915037,1.18E-06,,,,
GNPTAB,0.944638248,1.03E-06,,,,
RCN3,1.472626994,1.13E-06,,,,
GAREM1,1.536194405,1.29E-06,,,,
PLD5,-1.426395685,1.23E-06,,,,
ACSS3,1.560078233,1.17E-06,,,,
STAT3,0.779986158,1.05E-06,,,,
EXT2,0.675839708,1.09E-06,,,,
KANK1,1.45186928,1.15E-06,,,,
CAVIN3,1.977660687,1.33E-06,,,,
CEMIP,1.582966427,1.21E-06,,,,
ANP32B,0.975013027,1.21E-06,,,,
CP,3.205946224,1.58E-06,,,,
CAPN3,2.499947775,1.57E-06,,,,
CADPS2,2.307983955,1.45E-06,,,,
RFTN2,2.447547213,1.52E-06,,,,
ABHD12,0.927165805,1.34E-06,,,,
WDR1,1.019970231,1.22E-06,,,,
IFNAR2,0.935745826,1.38E-06,,,,
CACNA2D1,1.259790394,1.37E-06,,,,
NLGN1,2.26458426,1.66E-06,,,,
AOPEP,1.102881018,1.58E-06,,,,
NGLY1,0.785685211,1.57E-06,,,,
ADD3,1.365271214,1.42E-06,,,,
KCNJ10,2.785962182,1.20E-06,,,,
PLEKHA6,-2.847839417,1.83E-06,,,,
MAP7D3,1.023005697,1.59E-06,,,,
TMEM164,1.154640976,1.59E-06,,,,
TRIM9,1.610318419,1.84E-06,,,,
PRKAR1A,0.617211812,1.40E-06,,,,
PNRC1,0.678764088,1.51E-06,,,,
NME2,0.946020101,1.47E-06,,,,
LRP6,0.90660144,1.58E-06,,,,
NCK2,0.821386599,1.63E-06,,,,
DUSP14,3.065238875,1.95E-06,,,,
ACAN,2.207820269,1.39E-06,,,,
ENO1,0.915041387,1.44E-06,,,,
LIFR,1.815097124,1.70E-06,,,,
MCOLN2,2.971260796,1.99E-06,,,,
IL15,-1.654457574,2.00E-06,,,,
MAP4K4,0.821960858,1.55E-06,,,,
SATB1,0.78809956,1.82E-06,,,,
C3,-1.273348651,1.65E-06,,,,
ITGA1,1.55363374,1.60E-06,,,,
TMEM108,1.468034624,2.16E-06,,,,
A2M,4.240163473,2.13E-06,,,,
SLC5A3,1.79017244,1.82E-06,,,,
TENT5A,1.174863328,1.84E-06,,,,
SEMA5A,1.55498009,2.00E-06,,,,
RBPMS,1.308253287,1.91E-06,,,,
SND1,0.735349445,1.69E-06,,,,
PRCP,0.888335229,1.76E-06,,,,
IDH1,0.908346952,1.79E-06,,,,
ACOT1,2.374941624,2.25E-06,,,,
SIX3,3.293936075,1.64E-06,,,,
F8A1,1.976343084,2.31E-06,,,,
EML2,0.882569542,2.23E-06,,,,
PLAT,2.697155118,2.04E-06,,,,
RNF2,1.170120811,2.22E-06,,,,
SORBS2,0.896053373,1.96E-06,,,,
SEPTIN8,0.582574625,1.95E-06,,,,
TNFAIP8,1.124614731,2.46E-06,,,,
GAS6,-1.396803671,2.04E-06,,,,
FAM200B,1.056770171,2.29E-06,,,,
ELF1,1.342621177,2.10E-06,,,,
ZNF469,1.862779638,2.53E-06,,,,
SOX10,3.467332594,2.84E-06,,,,
HSPB6,-1.413235365,2.22E-06,,,,
GYS1,0.756539678,2.17E-06,,,,
TALDO1,1.394705886,2.36E-06,,,,
PTER,1.206003152,2.96E-06,,,,
AP1S3,0.743241742,2.59E-06,,,,
LRCH3,1.157852383,2.43E-06,,,,
UGP2,1.095398298,2.30E-06,,,,
PYGB,1.504687499,2.34E-06,,,,
AGTR2,-1.567209782,2.96E-06,,,,
NAV2,1.035933948,2.47E-06,,,,
OLFML2A,1.21282328,2.20E-06,,,,
GLCE,1.087918835,2.69E-06,,,,
NOMO2,0.85763658,2.39E-06,,,,
ITM2A,1.15794815,2.27E-06,,,,
PJA2,0.715762295,2.44E-06,,,,
TNFSF10,2.41610019,2.98E-06,,,,
CTNND2,1.211202022,3.09E-06,,,,
FAM222B,0.785132487,2.81E-06,,,,
S100A10,1.473710616,2.54E-06,,,,
UBD,7.136034835,1.28E-07,,,,
CD38,2.865849568,2.51E-06,,,,
SV2C,2.110403614,3.37E-06,,,,
L3MBTL4,2.542734604,2.42E-06,,,,
PSD3,1.142286532,2.88E-06,,,,
SYNJ2,1.496415452,3.45E-06,,,,
AMMECR1,1.304629862,3.63E-06,,,,
SMIM5,2.76809503,2.62E-06,,,,
CREM,1.391675938,3.54E-06,,,,
RNF144A,1.049710883,3.55E-06,,,,
SPATA13,2.176429389,3.68E-06,,,,
B3GNT7,1.795313012,3.85E-06,,,,
DNAJC3,0.845783626,3.04E-06,,,,
ATP6V0A4,3.299294655,4.19E-06,,,,
MGLL,1.624005073,3.60E-06,,,,
ITM2B,0.733290486,2.90E-06,,,,
NCOA1,0.903012531,3.44E-06,,,,
COPB2,0.580525116,3.01E-06,,,,
AVPI1,0.8961354,3.48E-06,,,,
EVI5,0.91422848,3.78E-06,,,,
SNX7,1.080740623,3.98E-06,,,,
PLEKHS1,2.451234828,2.34E-06,,,,
ARHGEF40,0.909807577,3.27E-06,,,,
LIMCH1,0.637172627,3.36E-06,,,,
KDR,2.012437942,3.39E-06,,,,
TAB2,0.640253455,3.47E-06,,,,
SPTBN1,0.656763131,3.21E-06,,,,
SPR,1.120106523,4.44E-06,,,,
CTSH,-0.99546,4.21E-06,,,,
TRIM58,1.126900452,3.71E-06,,,,
MEF2C,1.412579417,4.54E-06,,,,
NAA10,0.842284424,3.87E-06,,,,
AADAT,1.173755764,4.58E-06,,,,
SLC35F2,1.727884088,3.82E-06,,,,
ARPC1B,1.264533686,3.73E-06,,,,
GLI3,0.800458188,4.00E-06,,,,
COL9A1,3.173409195,4.69E-06,,,,
SEC14L2,0.691372615,3.88E-06,,,,
FNDC3B,0.845765274,3.67E-06,,,,
WWP1,0.749437275,4.24E-06,,,,
COL9A2,2.340115182,3.70E-06,,,,
TARS3,1.139918096,4.49E-06,,,,
SELENOP,1.429799237,4.14E-06,,,,
TBL1X,0.758286591,4.57E-06,,,,
COL9A3,1.984232012,3.49E-06,,,,
JAKMIP2,1.493321284,5.36E-06,,,,
ZCCHC17,1.043644227,4.43E-06,,,,
AP5B1,0.687485957,4.62E-06,,,,
RNF144B,1.346587451,5.42E-06,,,,
RAB7A,0.842320296,3.96E-06,,,,
RNF130,0.926765721,4.26E-06,,,,
SQOR,1.17384816,5.20E-06,,,,
TEAD4,1.446595613,5.51E-06,,,,
CTNNB1,0.792401107,3.89E-06,,,,
ARHGAP10,1.30644321,4.94E-06,,,,
SGMS1,0.643551718,4.92E-06,,,,
PARP4,0.924934614,4.44E-06,,,,
DPP4,0.832513424,4.86E-06,,,,
TNFRSF19,1.728602714,4.55E-06,,,,
RPSA,0.973201688,4.15E-06,,,,
RAPGEF1,1.081685413,4.47E-06,,,,
HEATR5A,0.761629721,4.53E-06,,,,
DAG1,0.783237375,4.21E-06,,,,
C1QTNF3,1.522821068,5.43E-06,,,,
CEBPD,1.719534467,4.46E-06,,,,
MPZL3,-1.042665086,5.43E-06,,,,
PCDHGA11,1.689416559,5.55E-06,,,,
LRP2,3.238130542,5.50E-06,,,,
MPZL1,0.730258969,4.42E-06,,,,
SGCE,0.712203544,5.09E-06,,,,
RAP1GDS1,1.141559747,5.22E-06,,,,
CNN3,0.663754712,4.59E-06,,,,
ZNF516,0.594802225,5.11E-06,,,,
FAM98A,0.682877825,5.22E-06,,,,
GPRC5B,1.06329646,5.36E-06,,,,
EHD3,1.533805347,5.72E-06,,,,
FMNL2,1.048192081,5.11E-06,,,,
IL6,-1.686259668,6.79E-06,,,,
SEPTIN6,0.789673492,5.41E-06,,,,
GFPT2,1.199160155,5.33E-06,,,,
GPR37,1.221630508,6.76E-06,,,,
CA10,-2.955315032,6.90E-06,,,,
PBX3,1.4560381,5.97E-06,,,,
TMSB10,0.897319327,5.11E-06,,,,
KLHL21,1.264688292,5.80E-06,,,,
CPXM2,2.696103338,7.61E-06,,,,
RSPO3,2.990873169,6.80E-06,,,,
LIMA1,0.905349199,5.59E-06,,,,
ICAM1,0.841830181,5.84E-06,,,,
PTGES,1.274517941,7.94E-06,,,,
ITPRID2,0.89240412,5.93E-06,,,,
TUSC1,1.714874559,7.23E-06,,,,
MCHR1,2.932669049,8.12E-06,,,,
KCNA2,-1.768093747,7.94E-06,,,,
TSPAN4,0.915895846,6.26E-06,,,,
NRBF2,0.666095682,6.78E-06,,,,
IPO5P1,2.584349041,8.38E-06,,,,
SHISA2,1.470639653,8.34E-06,,,,
EXTL1,1.639124668,7.04E-06,,,,
PLA2G4A,2.144634713,8.48E-06,,,,
,2.730257872,6.38E-06,,,,
ZNF282,0.824948948,6.95E-06,,,,
FOXC1,1.342318759,6.33E-06,,,,
JAM3,0.713064023,6.42E-06,,,,
CBX5,0.642119659,6.40E-06,,,,
PHF19,0.954978121,8.53E-06,,,,
STOM,1.703257506,7.33E-06,,,,
LYPD6,1.345701494,9.42E-06,,,,
FAM13A,1.191046335,8.47E-06,,,,
ARCN1,0.49798294,6.65E-06,,,,
SOD3,2.327094074,9.66E-06,,,,
EGLN1,0.8370956,7.22E-06,,,,
ITPR2,1.444997334,6.61E-06,,,,
SMARCA2,1.043271295,7.22E-06,,,,
SPTSSA,0.806965988,7.14E-06,,,,
P2RX7,2.448989838,8.80E-06,,,,
CHI3L1,1.725875951,7.76E-06,,,,
PTGFR,-1.263394462,9.82E-06,,,,
ATP6V0E1,0.786644116,7.44E-06,,,,
CD47,1.180230228,7.43E-06,,,,
DLGAP1,1.673105716,1.00E-05,,,,
RECK,0.883439984,7.68E-06,,,,
AHR,0.838604022,7.21E-06,,,,
ARHGEF12,0.696576991,7.43E-06,,,,
TRAM2,1.205112576,7.49E-06,,,,
,0.892280496,7.15E-06,,,,
NOTCH2,0.878891091,7.21E-06,,,,
TIPARP,0.583595594,7.90E-06,,,,
LANCL3,-3.901386798,7.00E-06,,,,
SRP54,0.622675358,7.97E-06,,,,
ACKR1,-2.244552931,1.08E-05,,,,
NOD1,0.988540493,9.35E-06,,,,
ALDOA,0.918667639,7.30E-06,,,,
STMN2,-5.960058679,1.02E-05,,,,
SNX18,0.714448089,8.36E-06,,,,
CRISPLD2,1.82840709,7.92E-06,,,,
PDIA6,0.816962106,7.54E-06,,,,
SATB2,0.834015354,9.90E-06,,,,
PRICKLE2,0.737417883,8.55E-06,,,,
PMP2,1.754684533,8.99E-06,,,,
PLEKHG4B,1.732972313,1.17E-05,,,,
PLPP3,-1.029535288,9.11E-06,,,,
NELL2,2.734562815,1.21E-05,,,,
INA,-2.15220504,1.20E-05,,,,
PDE3B,1.030838947,1.15E-05,,,,
GYG1,1.334324353,9.56E-06,,,,
MERTK,1.112347086,1.13E-05,,,,
USP32,0.67373276,9.27E-06,,,,
TMEM176B,3.352143766,5.41E-06,,,,
ADGRB3,1.342095934,1.20E-05,,,,
DYNLT3,0.837023997,1.00E-05,,,,
ACTN4,0.964323155,8.49E-06,,,,
CSRNP1,1.438271033,9.02E-06,,,,
TMEM176A,2.682289093,6.99E-06,,,,
OTX2,5.39263117,1.28E-05,,,,
BCL2,2.607994979,1.27E-05,,,,
ACTB,0.541330293,8.73E-06,,,,
COL27A1,1.124435818,1.01E-05,,,,
MMP17,2.478295495,1.27E-05,,,,
CDK16,0.8733893,1.04E-05,,,,
DENND2B,0.928264004,1.04E-05,,,,
SH3BGR,2.719324047,1.44E-05,,,,
USP9X,0.701448027,9.77E-06,,,,
PCDH15,2.334628788,1.41E-05,,,,
GPX3,0.967821246,9.21E-06,,,,
BAG3,0.948073738,1.04E-05,,,,
MATN2,1.058204432,9.80E-06,,,,
ITGB3,0.775194053,9.43E-06,,,,
OAF,1.141361979,1.21E-05,,,,
SGMS2,0.782859511,1.05E-05,,,,
CRYBG3,0.771594779,1.14E-05,,,,
KATNBL1,-1.709978979,1.36E-05,,,,
DOCK4,0.769486616,1.22E-05,,,,
MATN1,3.183756629,1.55E-05,,,,
SYTL4,1.400848793,1.51E-05,,,,
THSD7A,-4.038123803,1.60E-05,,,,
MSRB3,0.889857255,1.10E-05,,,,
ANKRD6,1.418573925,1.27E-05,,,,
AMOT,1.035357214,1.24E-05,,,,
DPY19L1,0.842285087,1.10E-05,,,,
CDK2AP1,0.717754442,1.13E-05,,,,
KCNC3,-1.935763902,1.52E-05,,,,
GHR,2.19224431,1.49E-05,,,,
OSBP,0.582027423,1.13E-05,,,,
TYRO3,1.045199856,1.32E-05,,,,
USP51,2.142794119,1.54E-05,,,,
PLAAT3,1.41632148,1.61E-05,,,,
ERRFI1,1.483083178,1.26E-05,,,,
SLC6A20,3.742056031,9.53E-06,,,,
SYDE1,0.964538264,1.29E-05,,,,
WDR25,1.091990249,1.64E-05,,,,
TRAF3IP2,0.943745962,1.39E-05,,,,
MANEAL,-2.599230356,1.12E-05,,,,
COPG1,0.688514766,1.14E-05,,,,
ANKRD54,0.999434853,1.45E-05,,,,
