gene_name,logFC,P.Value,,,,
ABLIM3,-2.058120956,2.65E-08,,,,
IFITM2,2.46436103,2.41E-08,,,,
TNS3,2.885598596,2.81E-08,,,,
ATRAID,1.233984348,2.66E-08,,,,
DTX4,-2.60077297,2.77E-08,,,,
CSMD3,-3.069862615,3.01E-08,,,,
MTR,1.208546599,2.71E-08,,,,
SHOX2,-2.877517489,3.39E-08,,,,
YAP1,1.071924084,2.88E-08,,,,
,3.777976941,3.30E-08,,,,
NFE2L2,0.986841465,3.23E-08,,,,
BUB1B,2.051927671,3.59E-08,,,,
NCAPG,2.507061216,3.82E-08,,,,
GDF10,8.318881701,1.48E-08,,,,
RYR1,3.286883342,2.86E-08,,,,
PLCXD2,-2.379690713,4.83E-08,,,,
GINS4,1.663184339,5.35E-08,,,,
RPSA,1.29339894,4.33E-08,,,,
GOLGA7B,-2.379605595,5.79E-08,,,,
IQGAP3,1.992859053,5.72E-08,,,,
PTTG1,1.868115863,6.56E-08,,,,
SHANK2,-2.293529462,6.54E-08,,,,
SYT11,-0.90321953,5.65E-08,,,,
SASH1,1.493060005,6.38E-08,,,,
BTF3,0.824971127,5.74E-08,,,,
SCN4B,-3.377367746,7.31E-08,,,,
MAD2L1,1.749360912,7.57E-08,,,,
P2RY1,2.085897882,7.17E-08,,,,
ALPK1,2.666356195,6.13E-08,,,,
RACGAP1,1.290404306,8.24E-08,,,,
KLHL14,4.943349206,3.23E-08,,,,
RGS7,-1.759001861,8.74E-08,,,,
FBXO7,1.240406979,7.46E-08,,,,
CADM3,-2.316758182,7.52E-08,,,,
ITGA6,1.066295781,7.62E-08,,,,
DUSP4,-1.091017579,7.51E-08,,,,
KIF1A,-2.671643116,7.87E-08,,,,
EMILIN3,3.153704437,7.56E-08,,,,
RPL30,1.044621879,7.51E-08,,,,
NEK9,1.074164035,8.14E-08,,,,
DYNC2I2,1.26118397,9.18E-08,,,,
MITF,2.931608021,6.65E-08,,,,
SELENOP,3.129711872,1.04E-07,,,,
,1.20773887,7.90E-08,,,,
TNFAIP8,2.161238799,9.26E-08,,,,
ARHGAP11A,1.41300107,1.04E-07,,,,
PRR11,1.277615321,1.07E-07,,,,
TMEM98,1.084789012,9.58E-08,,,,
GGCT,1.414341396,1.04E-07,,,,
ADCY2,2.859992614,1.12E-07,,,,
ACKR1,-2.986995211,1.15E-07,,,,
ELAVL2,-1.474526527,1.08E-07,,,,
DCDC1,3.521356386,5.95E-08,,,,
MYOM1,3.279283576,8.16E-08,,,,
PODXL2,-1.719693906,1.06E-07,,,,
TANC1,1.816362599,1.20E-07,,,,
PPP2R2C,-1.703290353,1.28E-07,,,,
CDON,2.714173718,1.24E-07,,,,
SEPTIN10,1.018093865,1.14E-07,,,,
SEMA3E,1.967345167,1.30E-07,,,,
NFASC,-1.478403084,1.08E-07,,,,
CHODL,-2.669189728,1.34E-07,,,,
CTSC,2.641493133,1.36E-07,,,,
MCM6,1.436363956,1.28E-07,,,,
LPIN2,1.279580191,1.36E-07,,,,
TNFRSF1A,0.876125524,1.37E-07,,,,
BDH2,1.700403935,1.50E-07,,,,
SCN3B,-1.295621865,1.44E-07,,,,
RPL41,1.014360375,1.23E-07,,,,
RPS6,0.944861311,1.23E-07,,,,
CALB1,2.482526567,1.59E-07,,,,
RFTN2,2.787351828,1.68E-07,,,,
CELSR1,1.02478088,1.57E-07,,,,
CADPS2,2.511683962,1.69E-07,,,,
EPHA7,1.459331271,1.80E-07,,,,
CACNG4,-1.753612782,1.78E-07,,,,
TK1,2.690716081,1.81E-07,,,,
ARRDC3,0.850825404,1.51E-07,,,,
RPS6KL1,-2.024156627,1.94E-07,,,,
MAPK8IP2,-1.888804909,1.77E-07,,,,
TMEM109,1.322569696,1.96E-07,,,,
TBL1X,0.919858169,1.79E-07,,,,
TPX2,1.592963378,1.82E-07,,,,
OTX2,6.15363786,2.04E-07,,,,
FOXM1,1.790356953,2.04E-07,,,,
RUNX1T1,-1.749849805,1.88E-07,,,,
SCN2A,-1.308439323,1.89E-07,,,,
GASK1B,2.528438395,2.19E-07,,,,
LGR4,1.286267178,1.81E-07,,,,
ITPKB,1.594743518,2.27E-07,,,,
SOCS3,2.757821705,2.37E-07,,,,
TPP1,0.918392925,2.15E-07,,,,
MTMR1,1.066354081,2.42E-07,,,,
ZEB2,0.847009538,2.20E-07,,,,
DMTN,-1.223838132,2.57E-07,,,,
CDT1,1.777775983,2.70E-07,,,,
GRIA3,-2.032817329,2.57E-07,,,,
TMEM176A,3.790818948,8.29E-08,,,,
BUB1,2.099783165,2.78E-07,,,,
STS,2.610318347,2.71E-07,,,,
TRIP13,1.994233543,2.65E-07,,,,
SPHK1,2.086032607,2.76E-07,,,,
L1CAM,-1.965413698,2.41E-07,,,,
NASP,0.856635983,2.34E-07,,,,
SERPINF1,2.108315965,2.96E-07,,,,
DNAJC6,-1.413111475,2.51E-07,,,,
CRISPLD1,1.327979101,2.60E-07,,,,
C1orf226,1.574742275,3.17E-07,,,,
CTSB,0.918546181,2.58E-07,,,,
CDK1,2.603555243,3.25E-07,,,,
SORL1,1.295329017,3.09E-07,,,,
CCNA2,1.246610171,3.24E-07,,,,
NDC80,2.060088796,3.31E-07,,,,
CDCA5,1.996008097,3.44E-07,,,,
LEF1,2.530449018,3.41E-07,,,,
RBP4,-3.316631754,1.98E-07,,,,
SEMA4F,-1.097441864,2.98E-07,,,,
ADARB1,1.331327337,3.21E-07,,,,
H2AZ1,0.993329963,2.94E-07,,,,
MBNL3,1.860921488,3.72E-07,,,,
AURKB,2.771764613,3.25E-07,,,,
TTF2,1.336942067,3.69E-07,,,,
NRP2,2.343023625,3.39E-07,,,,
GAS1,2.913668774,3.91E-07,,,,
MDFIC,1.867877082,3.80E-07,,,,
TAC1,-3.603295915,4.10E-07,,,,
CKMT1B,-2.322895121,4.11E-07,,,,
ITPRID2,1.194757776,3.38E-07,,,,
RPS8,0.914438955,3.10E-07,,,,
THSD7A,-3.088085317,3.87E-07,,,,
MAP3K4,1.254754617,3.78E-07,,,,
KIF2C,2.756722469,4.27E-07,,,,
NTM,-1.977671326,3.84E-07,,,,
RPA1,0.822454563,3.49E-07,,,,
ZNF208,-8.281409373,1.27E-07,,,,
NBPF19,1.380549854,3.85E-07,,,,
MTND2P28,4.152724676,4.70E-07,,,,
GLDC,1.828106848,4.46E-07,,,,
TACC3,1.15325966,4.30E-07,,,,
NCAPG2,0.96666412,4.52E-07,,,,
AMOTL1,0.838317013,3.80E-07,,,,
DONSON,1.150710467,4.60E-07,,,,
BEX5,-2.569188595,4.98E-07,,,,
CENPW,2.545919333,3.75E-07,,,,
SUSD4,-2.300615315,5.13E-07,,,,
AEBP1,2.604082331,4.90E-07,,,,
TKT,1.180820795,3.95E-07,,,,
PCNX2,-1.299843312,4.54E-07,,,,
KCNA2,-1.208712018,4.90E-07,,,,
LRRC17,3.000745691,4.91E-07,,,,
LPP,1.342714236,4.77E-07,,,,
PLA2G2A,11.97979807,1.98E-07,,,,
MEIS1,1.885962874,5.26E-07,,,,
DES,4.854244528,6.72E-08,,,,
,-2.359347563,5.12E-07,,,,
DKK3,-1.46192174,4.48E-07,,,,
CDC6,1.623272126,6.12E-07,,,,
ADGRA3,0.876459668,4.90E-07,,,,
TCEAL2,-1.711766903,6.00E-07,,,,
LANCL3,-3.511942013,5.74E-07,,,,
PCDH18,2.917624532,6.23E-07,,,,
CTDSP1,1.205448871,6.09E-07,,,,
SYT13,-2.010315126,5.58E-07,,,,
MGAT5B,-1.547484615,5.97E-07,,,,
BCL2L11,1.253708775,6.60E-07,,,,
ATP1A1,0.780273283,5.09E-07,,,,
ZIC5,2.638065615,6.51E-07,,,,
SYP,-1.096135751,6.32E-07,,,,
SLC39A1,1.044291643,5.88E-07,,,,
HMGN3,1.359786145,6.59E-07,,,,
MPP3,-1.461794624,7.12E-07,,,,
NAGA,1.156414886,6.94E-07,,,,
TROAP,2.673193253,6.84E-07,,,,
RPL23A,0.799454041,5.95E-07,,,,
SDC2,1.081497139,6.80E-07,,,,
CDH4,-2.587696524,7.95E-07,,,,
SMARCA2,1.379355372,6.94E-07,,,,
MAP7D3,1.440758935,8.50E-07,,,,
TMEM176B,4.588522014,2.21E-07,,,,
TRMT112,1.233758411,7.39E-07,,,,
DNER,-1.793417116,7.09E-07,,,,
AP3B1,0.827621622,7.17E-07,,,,
INA,-1.585436297,7.46E-07,,,,
ANP32E,0.702576359,7.14E-07,,,,
RRM2,3.025696741,9.41E-07,,,,
ETV4,-1.093810019,8.71E-07,,,,
NEK6,1.090006396,8.36E-07,,,,
GPRIN1,-1.464101584,8.65E-07,,,,
GSTM4,2.40532781,8.99E-07,,,,
ZNF22,1.159013368,9.29E-07,,,,
AHNAK2,-1.646819543,8.22E-07,,,,
FAM107B,1.337920585,8.14E-07,,,,
,-4.427308401,1.08E-06,,,,
SP1,0.652292452,8.10E-07,,,,
CCNG1,1.14320955,7.86E-07,,,,
TRIM46,-1.274944525,1.07E-06,,,,
FGFR3,2.055766191,9.57E-07,,,,
RPL27A,0.958731723,8.18E-07,,,,
TEAD2,0.990820144,9.56E-07,,,,
ELOVL4,-1.079050042,9.59E-07,,,,
PRDX6,1.078171946,8.69E-07,,,,
BCL2,2.221181515,1.18E-06,,,,
ADI1,0.959180926,1.09E-06,,,,
CNTNAP3B,2.77724657,1.13E-06,,,,
ANXA6,0.916642407,9.21E-07,,,,
RAPGEF5,-1.691063706,1.14E-06,,,,
SCG3,-1.149231416,1.12E-06,,,,
HJURP,2.508846074,1.21E-06,,,,
SLC1A6,-2.315871019,1.22E-06,,,,
NOTCH2NLA,1.577212602,1.17E-06,,,,
DSC2,1.539294611,1.12E-06,,,,
CEP170B,-0.971780599,9.62E-07,,,,
TSPAN13,-0.967488018,9.57E-07,,,,
RAVER1,1.04882405,1.08E-06,,,,
UNC13A,-1.514652581,1.05E-06,,,,
SLC6A17,-1.473815457,1.26E-06,,,,
KIF3C,-1.296387338,9.72E-07,,,,
PBXIP1,0.980518738,1.11E-06,,,,
MORC4,1.110397735,1.19E-06,,,,
STRIP2,1.572134521,1.33E-06,,,,
ATP6V0A1,-0.90562749,9.75E-07,,,,
TRIM56,1.031058381,1.17E-06,,,,
OBSL1,1.244691718,1.02E-06,,,,
CDCA8,1.736540403,1.38E-06,,,,
NR1D2,0.805489731,1.23E-06,,,,
GTSE1,1.655993103,1.46E-06,,,,
ADD3,1.484396299,1.14E-06,,,,
TSPAN6,1.114374632,1.16E-06,,,,
SERPING1,1.281246479,1.23E-06,,,,
CERS2,0.739305829,1.14E-06,,,,
GFOD1,-1.423401193,1.33E-06,,,,
SLC7A1,-1.310588657,1.13E-06,,,,
MVP,1.438597256,1.50E-06,,,,
TMEM74,-1.730523136,1.53E-06,,,,
PRTG,1.677581679,1.32E-06,,,,
UGT8,3.151366301,1.52E-06,,,,
CNKSR2,-2.186438487,1.58E-06,,,,
USP51,2.627536237,1.55E-06,,,,
NRG1,-2.325786197,1.39E-06,,,,
SPHKAP,3.502324699,6.30E-07,,,,
SSBP2,0.989447108,1.41E-06,,,,
COL4A6,1.765809056,1.57E-06,,,,
CDK5R1,-1.390480444,1.56E-06,,,,
ADCYAP1R1,-1.757363803,1.74E-06,,,,
HNRNPF,0.795474005,1.35E-06,,,,
PPFIBP1,1.023660801,1.49E-06,,,,
PLAAT3,1.767638933,1.88E-06,,,,
EYA2,3.247608738,8.99E-07,,,,
SMARCA1,0.991203009,1.39E-06,,,,
NOTCH2,1.117188691,1.43E-06,,,,
SLIT3,1.889785286,1.59E-06,,,,
IDS,-1.016657896,1.40E-06,,,,
TCF7L1,0.960327261,1.70E-06,,,,
RAD51AP1,1.444794011,2.00E-06,,,,
SRD5A1,-1.061053136,1.66E-06,,,,
KCNB1,-1.374023967,1.78E-06,,,,
FAXDC2,1.83104776,2.05E-06,,,,
ATP13A2,-1.157550973,1.52E-06,,,,
ID3,1.290560605,1.66E-06,,,,
ITGAV,1.186725851,1.60E-06,,,,
LRRC4,-1.45043291,2.00E-06,,,,
BIN3,1.130479947,1.96E-06,,,,
SHCBP1,1.794651729,2.18E-06,,,,
GUCD1,0.815285566,1.80E-06,,,,
MANBA,1.229755345,1.89E-06,,,,
PYGL,1.833052061,2.17E-06,,,,
NPM1,0.794181491,1.53E-06,,,,
EPHA3,-2.294189337,1.92E-06,,,,
PRCP,1.016063344,1.76E-06,,,,
EVC,1.309216817,2.29E-06,,,,
YBX3,1.046715385,1.73E-06,,,,
PNMA8A,1.615181541,1.84E-06,,,,
HAUS5,1.010124488,2.27E-06,,,,
PLP1,2.761388753,1.95E-06,,,,
CLCN5,1.334738195,1.82E-06,,,,
NIBAN1,1.560081824,2.41E-06,,,,
CA2,5.065503571,2.52E-06,,,,
SULT4A1,-1.08788358,2.04E-06,,,,
DOCK1,0.775318113,1.86E-06,,,,
TYRO3,1.183410149,1.99E-06,,,,
NLGN1,2.062345687,2.48E-06,,,,
NBPF14,0.892512207,2.01E-06,,,,
MCC,1.308612546,2.19E-06,,,,
EYA1,1.431894161,2.58E-06,,,,
TTC12,1.560886915,2.58E-06,,,,
ATP6V1FNB,-2.334603097,2.28E-06,,,,
PTBP1,0.678674461,1.87E-06,,,,
ZFHX4,1.252559277,2.01E-06,,,,
CDK2,1.099077174,2.23E-06,,,,
CELSR3,-1.662184114,2.11E-06,,,,
BTBD3,0.760263997,2.08E-06,,,,
RPS27,1.042075652,1.91E-06,,,,
CACNB1,-1.266188843,2.40E-06,,,,
RNF24,-1.179322951,2.13E-06,,,,
KCNMB4,1.148253026,2.63E-06,,,,
PRNP,-0.806935956,2.10E-06,,,,
KCNH8,-2.529706947,2.86E-06,,,,
RMC1,-1.132608147,2.76E-06,,,,
LRP8,-1.426140156,2.38E-06,,,,
CKS2,1.50627982,3.06E-06,,,,
,1.15162595,2.89E-06,,,,
SEC11A,0.830985063,2.32E-06,,,,
MINAR1,-1.457840849,2.76E-06,,,,
DNAJC21,0.932446321,2.57E-06,,,,
RHOU,1.180211402,2.80E-06,,,,
FTL,0.866254683,2.15E-06,,,,
FANCD2,1.154365483,3.03E-06,,,,
ZWINT,2.265867269,3.21E-06,,,,
GOLIM4,0.967782327,2.51E-06,,,,
GYG1,1.618493944,2.73E-06,,,,
RBFOX2,-0.860260936,2.29E-06,,,,
RSPO3,3.231378205,3.14E-06,,,,
AKR7A2,1.141702142,2.94E-06,,,,
PLK2,0.955060329,2.56E-06,,,,
SOGA3,-2.104475516,2.91E-06,,,,
ONECUT3,-3.081791784,3.28E-06,,,,
HNRNPC,0.66890519,2.37E-06,,,,
GSR,1.098039053,2.85E-06,,,,
SPAG5,0.922773974,3.21E-06,,,,
PRKD1,2.107865318,3.57E-06,,,,
RPS12,0.90850544,2.48E-06,,,,
F2R,-0.928063263,2.58E-06,,,,
CAMK2N1,-1.479530685,3.01E-06,,,,
NELL2,2.26721472,3.33E-06,,,,
SCPEP1,0.986501876,3.51E-06,,,,
KHNYN,1.06093262,2.99E-06,,,,
SPIDR,0.912800226,3.13E-06,,,,
DMRTA1,2.290778639,3.36E-06,,,,
DCHS2,-1.963722072,3.48E-06,,,,
MAB21L2,2.371522407,3.85E-06,,,,
TULP3,0.904867913,3.30E-06,,,,
GAS7,2.507179361,3.31E-06,,,,
MMP24,-1.682609353,3.05E-06,,,,
RAD51,1.717621198,3.80E-06,,,,
PBX3,1.518512101,2.93E-06,,,,
PON2,0.780076429,2.93E-06,,,,
CXCR4,-1.578074391,3.33E-06,,,,
FRMPD4,-2.104192306,3.94E-06,,,,
URM1,0.849493427,3.19E-06,,,,
KCND3,-1.20995022,4.01E-06,,,,
RPL31,0.879570204,2.78E-06,,,,
SNX7,1.388554089,3.97E-06,,,,
ADRA2A,-2.797996952,4.07E-06,,,,
NOD1,1.742180083,4.36E-06,,,,
PDLIM5,0.956088868,3.30E-06,,,,
RRM1,1.016000014,3.30E-06,,,,
RXRA,0.933531407,3.60E-06,,,,
TIPARP,0.91617292,4.02E-06,,,,
CDHR2,-2.088535188,4.43E-06,,,,
ID1,2.037071684,3.63E-06,,,,
FANCI,1.263484509,3.87E-06,,,,
MCM5,1.263859103,3.97E-06,,,,
CFAP91,1.347044103,4.52E-06,,,,
TTK,1.665639815,4.68E-06,,,,
ACTN2,2.362969713,4.03E-06,,,,
BLVRB,1.74886255,4.68E-06,,,,
RAB6B,-0.943198432,3.34E-06,,,,
DZIP1L,1.566014967,4.78E-06,,,,
PDZRN3,1.793320872,4.17E-06,,,,
UNC5C,2.621227036,3.94E-06,,,,
NAP1L1,0.673305335,3.19E-06,,,,
PEG10,0.634537946,3.20E-06,,,,
CTIF,-1.389218117,3.70E-06,,,,
CEP55,2.28716323,4.67E-06,,,,
HIBADH,2.00550565,4.62E-06,,,,
ATOH8,1.921873211,5.08E-06,,,,
RPL17,0.782550719,3.41E-06,,,,
CMTM7,1.478781921,5.19E-06,,,,
SYT14,-2.818437224,4.99E-06,,,,
PKP4,0.917055974,3.96E-06,,,,
MERTK,1.912800098,5.23E-06,,,,
GCDH,1.433299128,5.24E-06,,,,
GPRC5B,1.127298518,3.87E-06,,,,
IQGAP1,0.951905192,3.75E-06,,,,
GDNF,-2.089403543,5.15E-06,,,,
NR2F2,1.36230332,4.06E-06,,,,
ALYREF,0.988651773,4.46E-06,,,,
CTNNB1,0.850960155,3.63E-06,,,,
PIF1,2.300022561,4.75E-06,,,,
SLC44A1,1.313905615,4.25E-06,,,,
IPO8,0.93342538,4.29E-06,,,,
LAMA5,1.121855419,4.13E-06,,,,
KIAA0408,-2.306798074,4.78E-06,,,,
SPTBN2,-0.941512333,4.07E-06,,,,
KLHL4,2.188910438,5.79E-06,,,,
PRDM11,1.248638339,5.53E-06,,,,
RAD54L,1.578383653,5.86E-06,,,,
ZNF730,2.136624683,4.54E-06,,,,
ATP6V0E1,1.13218232,5.08E-06,,,,
MRPS6,1.404711593,4.93E-06,,,,
GINS2,2.024218561,6.12E-06,,,,
CBX5,0.664255437,4.10E-06,,,,
THY1,-1.056827968,4.54E-06,,,,
TOX,1.250783809,5.56E-06,,,,
FKBP5,1.600150618,5.63E-06,,,,
PTGES,2.10088283,6.06E-06,,,,
SLC36A1,-1.045371293,5.53E-06,,,,
S100A13,1.386943892,5.85E-06,,,,
CHEK1,1.043269562,6.14E-06,,,,
MARCHF4,-2.057588726,5.70E-06,,,,
PLXNA2,-1.192540097,5.15E-06,,,,
ABCA3,-1.138887985,4.70E-06,,,,
NBPF10,1.214264136,6.03E-06,,,,
CCKBR,3.451881758,3.99E-06,,,,
MSI1,1.201794506,5.57E-06,,,,
VSTM4,-1.368978973,6.05E-06,,,,
NEIL3,3.407896241,4.74E-06,,,,
HEXB,1.378026641,5.55E-06,,,,
TXLNA,0.696757308,4.92E-06,,,,
PLD2,0.991276915,6.75E-06,,,,
EIF3E,0.67399116,4.74E-06,,,,
PAPLN,2.637548498,6.12E-06,,,,
SORBS1,1.305354566,5.77E-06,,,,
SPRED3,-1.467659122,5.99E-06,,,,
THSD7B,-1.787139973,7.00E-06,,,,
ZNF106,0.63620569,5.19E-06,,,,
RPS3,0.897040117,4.77E-06,,,,
HPS3,1.017518318,6.26E-06,,,,
OST4,0.986101545,5.69E-06,,,,
ADGRG6,2.620199531,7.58E-06,,,,
VSNL1,-1.850733303,7.52E-06,,,,
GUCY1A1,2.243127214,7.77E-06,,,,
PTGR1,1.293500361,6.82E-06,,,,
C1orf198,0.910799068,5.42E-06,,,,
CASP6,1.518363474,7.80E-06,,,,
MTSS1,-1.574677372,6.28E-06,,,,
MCM3,1.451730373,6.28E-06,,,,
FUCA1,-1.115731329,6.90E-06,,,,
TSC22D4,1.137824667,6.97E-06,,,,
CCNB2,1.018926009,7.38E-06,,,,
GPR37,1.665368414,8.06E-06,,,,
ST8SIA4,1.450596299,8.20E-06,,,,
LYPD6,1.606176395,8.21E-06,,,,
ASF1B,2.915308237,5.70E-06,,,,
ANXA5,1.39083899,5.83E-06,,,,
ARHGAP28,2.127435441,6.93E-06,,,,
CNTLN,1.31027115,8.31E-06,,,,
ADCY1,-1.133893558,6.68E-06,,,,
NEK2,2.272562588,8.74E-06,,,,
DVL2,0.842498027,6.71E-06,,,,
RPS27A,0.873447692,5.74E-06,,,,
PVR,-1.337956418,6.77E-06,,,,
ARHGAP22,-2.122761625,8.84E-06,,,,
RBPMS,1.605145107,8.02E-06,,,,
PLEKHA6,-1.814880588,7.20E-06,,,,
CENPF,1.358654795,7.80E-06,,,,
RASL11B,2.544317151,9.28E-06,,,,
RPL22L1,1.68609945,9.01E-06,,,,
TLN1,1.157190315,6.43E-06,,,,
RAB13,1.172745779,6.97E-06,,,,
MYH7,5.488900928,3.55E-06,,,,
WDR47,-0.926100357,7.03E-06,,,,
EFNA1,2.147824236,9.71E-06,,,,
SDCBP,0.704023401,6.74E-06,,,,
CUL7,0.96453084,6.92E-06,,,,
EXO1,1.781724543,9.88E-06,,,,
ASPM,2.036065162,9.96E-06,,,,
FOS,2.892732598,1.01E-05,,,,
DNAAF5,0.974502078,8.46E-06,,,,
SLC1A1,-1.115045131,8.29E-06,,,,
PTPRR,-3.149862658,1.02E-05,,,,
REST,0.82032746,8.15E-06,,,,
JPH3,-1.427061323,7.87E-06,,,,
EIF4B,0.6426025,6.46E-06,,,,
SERPINI1,-1.166635075,7.83E-06,,,,
ZIC2,2.124618583,9.95E-06,,,,
CCDC88C,-1.95497168,9.00E-06,,,,
CYP4X1,-1.697620078,1.02E-05,,,,
CIB1,1.258788407,9.91E-06,,,,
NECTIN3,0.995664422,8.62E-06,,,,
HAT1,0.993389115,8.82E-06,,,,
MTHFD1L,1.000055778,7.99E-06,,,,
TGFB1I1,2.599676555,1.07E-05,,,,
RPS3A,0.849038637,6.92E-06,,,,
GRIN1,-2.99130788,1.07E-05,,,,
SLC25A38,0.916738946,9.38E-06,,,,
SNAP23,1.387920511,9.82E-06,,,,
ACSS3,2.961182517,1.15E-05,,,,
TRIL,2.09332514,1.06E-05,,,,
MMP17,1.987233932,1.13E-05,,,,
POLQ,1.548805501,1.13E-05,,,,
DLGAP5,2.384886563,1.16E-05,,,,
NFIA,1.779629659,1.14E-05,,,,
UGDH,1.353696553,8.85E-06,,,,
HTR1B,-2.170893124,1.08E-05,,,,
WNK2,1.105997967,9.66E-06,,,,
SLC7A3,1.929693443,1.16E-05,,,,
RPS10,0.875317908,7.71E-06,,,,
CTNNA1,0.784318701,7.67E-06,,,,
RAB33A,-1.400852775,1.21E-05,,,,
RPLP1,0.929364572,7.65E-06,,,,
SCN2B,-1.481130647,1.23E-05,,,,
ATP9A,-0.954200734,8.12E-06,,,,
NEDD9,1.579916625,1.05E-05,,,,
RPS25,0.831588865,8.37E-06,,,,
WNT5A,1.537379162,1.02E-05,,,,
PDE3B,0.967603823,1.11E-05,,,,
BRSK2,-1.369579352,1.03E-05,,,,
CRMP1,-0.948229862,8.61E-06,,,,
RCC1,0.935255243,9.96E-06,,,,
SLC2A6,-1.570771706,1.33E-05,,,,
ZNF395,0.88169681,1.02E-05,,,,
SIPA1,1.441910504,1.30E-05,,,,
SOX14,-3.57787049,4.37E-06,,,,
FNDC3B,0.999496032,9.91E-06,,,,
SOX6,2.412663838,1.26E-05,,,,
HMGA2,1.593017832,9.56E-06,,,,
CTXND1,3.757103734,7.08E-06,,,,
KIF11,1.087256413,1.22E-05,,,,
CITED1,2.553747348,1.37E-05,,,,
PHLDB2,1.201787043,1.22E-05,,,,
DNASE2,1.614807361,1.37E-05,,,,
TENT5A,1.626850374,1.27E-05,,,,
ITGA4,3.405329251,1.41E-05,,,,
TPT1,0.879445015,8.54E-06,,,,
CDV3,0.814767444,9.20E-06,,,,
CYP51A1,-0.816268675,9.43E-06,,,,
